PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Kimmo,Iso Vasikkasaari,Woody forest,2021-07-02 12:01,33,6,3,3,3,4,4,3,7,3,3,,,,,,,,,,,,,,,
Emma,Iso Vasikkasaari,Woody forest,2021-07-02 12:01,35,8,4,4,6,4,4,4,2,4,3,,,,,,,,,,,,,,,
Par,Siltamäki,Updated,2021-07-01 16:18,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Jouni,Siltamäki,Updated,2021-07-01 16:18,53,0,4,3,2,2,3,3,3,4,3,3,2,4,3,2,2,3,4,3,,,,,,
Kimmo,Siltamäki,Updated,2021-07-01 16:18,60,7,3,5,2,3,3,3,3,3,4,4,4,4,4,3,2,4,3,3,,,,,,
Teemu,Siltamäki,Updated,2021-07-01 16:18,64,11,3,4,3,3,5,3,3,4,4,4,4,4,3,3,3,4,3,4,,,,,,
Saikkis,Siltamäki,Updated,2021-07-01 16:18,57,4,5,3,3,3,2,3,3,4,4,3,3,3,3,3,2,4,3,3,,,,,,
Ile,Siltamäki,Updated,2021-07-01 16:18,69,16,4,4,4,3,3,3,4,5,6,3,5,4,3,4,3,4,4,3,,,,,,
Sampo,Siltamäki,Updated,2021-07-01 16:18,61,8,4,3,3,2,3,3,2,3,6,3,4,3,4,3,4,4,3,4,,,,,,
Par,Talma DGP,Main,2021-06-29 22:15,40,,3,4,3,4,3,3,3,3,3,4,3,4,,,,,,,,,,,,
Kimmo,Talma DGP,Main,2021-06-29 22:15,49,9,3,5,3,5,4,5,4,3,3,4,5,5,,,,,,,,,,,,
Emma,Talma DGP,Main,2021-06-29 22:15,57,17,5,7,4,7,4,3,4,4,3,5,5,6,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-06-25 21:03,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Malminiitty,Niitty,2021-06-25 21:03,25,-2,2,2,3,2,3,3,3,3,4,,,,,,,,,,,,,,,
Emma,Malminiitty,Niitty,2021-06-25 21:03,28,1,2,3,4,2,3,4,3,4,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-06-25 21:03,26,-1,3,3,3,2,4,3,2,3,3,,,,,,,,,,,,,,,
Ile,Malminiitty,Niitty,2021-06-25 21:03,34,7,5,4,4,3,3,4,4,4,3,,,,,,,,,,,,,,,
Sampo,Malminiitty,Niitty,2021-06-25 21:03,27,0,3,2,3,3,3,3,3,4,3,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-06-25 20:17,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Malminiitty,Niitty,2021-06-25 20:17,24,-3,3,3,3,2,2,3,3,2,3,,,,,,,,,,,,,,,
Emma,Malminiitty,Niitty,2021-06-25 20:17,30,3,3,4,3,3,3,4,3,3,4,,,,,,,,,,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-06-22 22:27,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-06-22 22:27,22,-5,2,2,2,2,3,3,2,3,3,,,,,,,,,,,,,,,
Emma,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-06-22 22:27,30,3,3,4,4,3,3,3,3,3,4,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-17 16:37,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Lentolan Frisbeegolf,Main,2021-06-17 16:37,27,0,3,4,3,3,3,2,3,3,3,,,,,,,,,,,,,,,
Saikkis,Lentolan Frisbeegolf,Main,2021-06-17 16:37,26,-1,3,3,3,3,3,3,2,3,3,,,,,,,,,,,,,,,
Saku,Lentolan Frisbeegolf,Main,2021-06-17 16:37,28,1,4,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Ile,Lentolan Frisbeegolf,Main,2021-06-17 16:37,29,2,3,3,3,3,4,3,4,3,3,,,,,,,,,,,,,,,
Par,Siltamäki,Updated,2021-06-11 19:24,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Teemu,Siltamäki,Updated,2021-06-11 19:24,57,4,3,4,3,2,3,3,3,4,5,4,3,3,3,3,3,3,3,2,,,,,,
Kimmo,Siltamäki,Updated,2021-06-11 19:24,62,9,6,4,3,2,3,3,3,4,4,4,3,3,4,3,3,4,4,2,,,,,,
Antti,Siltamäki,Updated,2021-06-11 19:24,56,3,4,4,3,3,3,2,2,3,4,4,3,3,3,4,2,3,3,3,,,,,,
Henu,Siltamäki,Updated,2021-06-11 19:24,61,8,3,3,3,2,2,3,3,4,6,3,3,4,3,4,4,4,3,4,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-09 19:50,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-06-09 19:50,22,-5,3,2,3,3,2,2,3,2,2,,,,,,,,,,,,,,,
Kimmo,Lentolan Frisbeegolf,Main,2021-06-09 19:50,25,-2,2,3,3,3,3,2,3,3,3,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-09 19:19,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-06-09 19:19,24,-3,3,2,3,3,2,3,3,3,2,,,,,,,,,,,,,,,
Kimmo,Lentolan Frisbeegolf,Main,2021-06-09 19:19,30,3,3,3,5,3,3,3,3,3,4,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-04 20:58,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-06-04 20:58,25,-2,3,2,4,3,3,2,3,2,3,,,,,,,,,,,,,,,
Kimmo,Lentolan Frisbeegolf,Main,2021-06-04 20:58,26,-1,3,3,3,3,3,3,3,3,2,,,,,,,,,,,,,,,
Emma,Lentolan Frisbeegolf,Main,2021-06-04 20:58,30,3,4,3,3,3,4,4,3,3,3,,,,,,,,,,,,,,,
