PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Saikkis,Siltamäki,Updated,2021-07-23 18:38,54,1,5,4,3,2,3,3,2,4,3,3,3,3,2,3,2,3,3,3,,,,,,
Teemu,Siltamäki,Updated,2021-07-23 18:38,60,7,4,3,3,3,3,3,3,4,5,3,3,3,4,3,4,4,3,2,,,,,,
Henu,Siltamäki,Updated,2021-07-23 18:38,58,5,5,4,3,2,3,3,4,4,4,3,3,3,3,3,2,4,3,2,,,,,,
Kari,Siltamäki,Updated,2021-07-23 18:38,60,7,4,5,4,2,3,3,3,3,4,3,3,3,3,3,4,4,4,2,,,,,,
Par,Ford DiscGolfPark,Blue layout 2021,2021-07-21 16:09,60,,4,3,4,3,4,3,3,4,3,3,4,4,3,3,3,3,3,3,,,,,,
Jouni,Ford DiscGolfPark,Blue layout 2021,2021-07-21 16:09,83,23,5,6,5,6,6,3,4,7,5,3,5,6,3,3,3,4,5,4,,,,,,
Henkka,Ford DiscGolfPark,Blue layout 2021,2021-07-21 16:09,81,21,6,3,5,4,4,3,5,6,5,3,5,5,6,6,5,3,4,3,,,,,,
Saikkis,Ford DiscGolfPark,Blue layout 2021,2021-07-21 16:09,91,31,6,5,8,5,5,4,5,8,4,3,5,7,5,4,5,3,5,4,,,,,,
Mikko,Ford DiscGolfPark,Blue layout 2021,2021-07-21 16:09,86,26,7,4,5,4,6,4,4,7,4,4,7,6,4,5,4,3,4,4,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-07-13 21:46,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-07-13 21:46,18,-9,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-07-13 21:15,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-07-13 21:15,24,-3,3,3,3,3,2,3,3,2,2,,,,,,,,,,,,,,,
Henkka,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-07-13 21:15,23,-4,2,2,3,2,3,3,3,2,3,,,,,,,,,,,,,,,
Saikkis,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-07-13 21:15,26,-1,2,3,3,4,4,3,2,3,2,,,,,,,,,,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 20:39,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 20:39,20,-7,2,2,2,2,2,2,3,2,3,,,,,,,,,,,,,,,
