PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Ilkka,Hornhattula Frisbeegolf,Main,2021-08-11 19:50,35,5,3,3,4,3,5,5,3,3,3,3,,,,,,,,,,,,,,
Par,Virvik,2018,2021-08-11 16:47,57,,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,3,,,,,,
Henkka,Virvik,2018,2021-08-11 16:47,66,9,4,3,2,4,3,6,3,6,2,5,4,3,5,4,2,4,3,3,,,,,,
Antti,Virvik,2018,2021-08-11 16:47,71,14,4,4,4,4,3,4,2,5,3,6,5,4,4,5,3,4,3,4,,,,,,
Ilkka,Virvik,2018,2021-08-11 16:47,83,26,5,4,5,3,3,4,3,7,5,7,5,4,5,4,5,5,3,6,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-08-09 18:57,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Lentolan Frisbeegolf,Main,2021-08-09 18:57,29,2,3,3,2,4,5,3,2,5,2,,,,,,,,,,,,,,,
Antti,Lentolan Frisbeegolf,Main,2021-08-09 18:57,27,0,2,3,3,3,3,3,3,4,3,,,,,,,,,,,,,,,
Ilkka,Lentolan Frisbeegolf,Main,2021-08-09 18:57,33,6,4,2,3,5,3,3,4,4,5,,,,,,,,,,,,,,,
Par,Ford Amateur DiscGolfPark (A1),Main,2021-08-08 17:40,56,,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,,,,,,
Jouni,Ford Amateur DiscGolfPark (A1),Main,2021-08-08 17:40,54,-2,2,4,3,2,2,5,3,3,3,3,3,3,4,3,3,3,3,2,,,,,,
Henkka,Ford Amateur DiscGolfPark (A1),Main,2021-08-08 17:40,53,-3,3,2,3,4,3,4,2,4,4,2,3,2,4,3,2,4,2,2,,,,,,
Saikkis,Ford Amateur DiscGolfPark (A1),Main,2021-08-08 17:40,60,4,2,3,3,2,4,5,3,3,3,3,3,3,3,4,3,3,5,5,,,,,,
Par,Malminiitty,Vakio layout,2021-08-06 20:44,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2021-08-06 20:44,26,-1,2,4,3,2,3,3,2,4,3,,,,,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2021-08-06 20:44,25,-2,3,3,2,2,3,3,3,3,3,,,,,,,,,,,,,,,
Henu,Malminiitty,Vakio layout,2021-08-06 20:44,32,5,3,3,5,4,5,3,3,3,3,,,,,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2021-08-06 19:36,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2021-08-06 19:36,28,1,3,2,3,3,3,3,4,3,4,,,,,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2021-08-06 19:36,25,-2,3,3,2,2,4,3,2,4,2,,,,,,,,,,,,,,,
Henu,Malminiitty,Vakio layout,2021-08-06 19:36,32,5,3,3,4,3,4,3,4,4,4,,,,,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2021-08-06 18:42,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2021-08-06 18:42,25,-2,2,2,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2021-08-06 18:42,27,0,4,2,3,3,4,3,2,4,2,,,,,,,,,,,,,,,
Henu,Malminiitty,Vakio layout,2021-08-06 18:42,30,3,3,3,3,2,4,3,5,3,4,,,,,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2021-08-06 18:03,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2021-08-06 18:03,25,-2,4,3,2,2,3,2,3,3,3,,,,,,,,,,,,,,,
Henu,Malminiitty,Vakio layout,2021-08-06 18:03,30,3,3,3,3,3,4,3,4,3,4,,,,,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2021-08-06 18:03,26,-1,3,2,3,2,3,3,4,3,3,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-08-06 17:05,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-08-06 17:05,25,-2,2,3,2,3,3,2,4,3,3,,,,,,,,,,,,,,,
Antti,Malminiitty,Niitty,2021-08-06 17:05,28,1,3,3,3,2,4,3,3,3,4,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-08-05 19:46,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Lentolan Frisbeegolf,Main,2021-08-05 19:46,27,0,2,3,3,3,5,3,2,3,3,,,,,,,,,,,,,,,
Antti,Lentolan Frisbeegolf,Main,2021-08-05 19:46,26,-1,3,2,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-08-05 19:15,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Lentolan Frisbeegolf,Main,2021-08-05 19:15,21,-6,2,3,3,2,2,2,2,3,2,,,,,,,,,,,,,,,
Antti,Lentolan Frisbeegolf,Main,2021-08-05 19:15,29,2,4,3,3,4,3,3,3,3,3,,,,,,,,,,,,,,,
Par,Varistonniitty,Main,2021-08-05 17:06,60,,3,3,3,4,4,3,3,3,3,4,4,3,3,3,4,4,3,3,,,,,,
Henkka,Varistonniitty,Main,2021-08-05 17:06,74,14,3,3,5,5,3,3,4,3,3,5,5,4,4,4,5,7,4,4,,,,,,
Antti,Varistonniitty,Main,2021-08-05 17:06,71,11,4,3,4,6,4,3,3,3,4,4,5,3,4,3,5,4,4,5,,,,,,
Par,Supersimppari,Custom,2021-07-31 17:48,62,,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,,,
Teemu,Supersimppari,Custom,2021-07-31 17:48,78,16,2,4,4,5,5,3,5,3,4,4,6,4,4,3,3,3,4,5,3,4,,,,
Henkka,Supersimppari,Custom,2021-07-31 17:48,62,0,2,3,4,4,3,3,3,2,3,3,4,3,3,2,5,2,3,4,3,3,,,,
Kimmo,Supersimppari,Custom,2021-07-31 17:48,71,9,2,4,3,4,3,3,3,3,4,4,4,3,4,4,4,3,4,5,4,3,,,,
Emma,Supersimppari,Custom,2021-07-31 17:48,80,18,3,4,3,5,4,3,4,5,5,4,5,4,4,3,4,3,4,5,4,4,,,,
Jouni,Supersimppari,Custom,2021-07-31 17:48,60,-2,2,3,2,4,2,2,3,2,4,4,4,3,3,2,3,3,4,3,3,4,,,,
Sampo,Supersimppari,Custom,2021-07-31 17:48,70,8,3,3,4,4,3,3,3,3,3,4,6,3,6,3,3,2,4,3,3,4,,,,
Antti,Supersimppari,Custom,2021-07-31 17:48,70,8,3,4,4,6,3,2,4,3,4,4,4,3,3,3,4,3,3,4,3,3,,,,
Saku,Supersimppari,Custom,2021-07-31 17:48,74,12,2,4,4,5,3,3,4,3,5,4,4,4,4,3,3,4,3,5,4,3,,,,
Par,Nurmijärven Frisbeegolfrata,Main,2021-07-29 17:44,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
Jouni,Nurmijärven Frisbeegolfrata,Main,2021-07-29 17:44,61,7,3,4,3,3,4,5,4,2,3,3,3,4,3,4,2,4,3,4,,,,,,
Henkka,Nurmijärven Frisbeegolfrata,Main,2021-07-29 17:44,68,14,4,7,4,3,4,3,3,3,4,2,4,3,2,3,3,5,5,6,,,,,,
Saikkis,Nurmijärven Frisbeegolfrata,Main,2021-07-29 17:44,71,17,3,4,4,3,6,5,5,2,4,4,4,3,3,3,2,5,5,6,,,,,,
Mikko,Nurmijärven Frisbeegolfrata,Main,2021-07-29 17:44,73,19,4,4,3,3,3,4,3,3,5,4,3,3,3,5,3,7,8,5,,,,,,
Par,Äijänpelto Frisbeegolf,Äijänpelto Frisbeegolf Espoo (2021),2021-07-28 17:51,67,,3,3,4,4,3,4,5,3,4,4,3,3,4,5,5,3,3,4,,,,,,
Henkka,Äijänpelto Frisbeegolf,Äijänpelto Frisbeegolf Espoo (2021),2021-07-28 17:51,95,28,4,3,7,7,4,5,7,4,6,5,4,4,5,8,8,6,3,5,,,,,,
Antti,Äijänpelto Frisbeegolf,Äijänpelto Frisbeegolf Espoo (2021),2021-07-28 17:51,90,23,4,3,4,5,3,6,9,3,4,4,4,4,6,7,9,4,5,6,,,,,,
Ilkka,Äijänpelto Frisbeegolf,Äijänpelto Frisbeegolf Espoo (2021),2021-07-28 17:51,108,41,8,4,6,6,3,6,8,5,8,6,4,4,5,9,9,4,5,8,,,,,,
Par,Rajamäen Frisbeegolfrata,Päivitetty 8.7.2018,2021-07-26 19:57,29,,3,3,3,3,3,4,3,4,3,,,,,,,,,,,,,,,
Ilkka,Rajamäen Frisbeegolfrata,Päivitetty 8.7.2018,2021-07-26 19:57,46,17,3,5,4,7,5,5,5,8,4,,,,,,,,,,,,,,,
Jouni,Rajamäen Frisbeegolfrata,Päivitetty 8.7.2018,2021-07-26 19:57,31,2,3,3,3,2,3,6,4,4,3,,,,,,,,,,,,,,,
Henkka,Rajamäen Frisbeegolfrata,Päivitetty 8.7.2018,2021-07-26 19:57,34,5,4,3,2,3,3,4,4,7,4,,,,,,,,,,,,,,,
Saikkis,Rajamäen Frisbeegolfrata,Päivitetty 8.7.2018,2021-07-26 19:57,34,5,4,3,3,4,4,4,4,5,3,,,,,,,,,,,,,,,
Par,Herusten Frisbeegolfrata ,Uusi Layout 2019,2021-07-26 17:43,58,,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,4,,,,,,
Jouni,Herusten Frisbeegolfrata ,Uusi Layout 2019,2021-07-26 17:43,57,-1,3,4,2,2,4,2,3,3,4,3,3,4,3,3,3,3,3,5,,,,,,
Henkka,Herusten Frisbeegolfrata ,Uusi Layout 2019,2021-07-26 17:43,63,5,4,4,3,2,4,3,5,4,3,3,3,3,4,4,4,3,2,5,,,,,,
Saikkis,Herusten Frisbeegolfrata ,Uusi Layout 2019,2021-07-26 17:43,67,9,3,4,4,5,4,3,6,4,3,3,5,5,4,2,4,2,2,4,,,,,,
Ilkka,Herusten Frisbeegolfrata ,Uusi Layout 2019,2021-07-26 17:43,68,10,5,4,4,4,4,4,5,3,3,3,4,3,4,3,4,3,3,5,,,,,,
Par,Malminiitty,Niitty,2021-07-22 18:45,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-07-22 18:45,23,-4,3,2,2,3,3,3,2,2,3,,,,,,,,,,,,,,,
Antti,Malminiitty,Niitty,2021-07-22 18:45,29,2,3,3,3,2,3,4,4,4,3,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-07-22 17:57,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-07-22 17:57,26,-1,2,2,2,3,2,3,5,3,4,,,,,,,,,,,,,,,
Antti,Malminiitty,Niitty,2021-07-22 17:57,26,-1,2,2,2,3,3,3,4,3,4,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-07-22 17:06,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-07-22 17:06,26,-1,2,2,5,3,2,3,3,3,3,,,,,,,,,,,,,,,
Antti,Malminiitty,Niitty,2021-07-22 17:06,26,-1,3,2,3,2,3,4,3,3,3,,,,,,,,,,,,,,,
Par,Ford DiscGolfPark,Blue layout 2021,2021-07-21 16:09,60,,4,3,4,3,4,3,3,4,3,3,4,4,3,3,3,3,3,3,,,,,,
Jouni,Ford DiscGolfPark,Blue layout 2021,2021-07-21 16:09,83,23,5,6,5,6,6,3,4,7,5,3,5,6,3,3,3,4,5,4,,,,,,
Henkka,Ford DiscGolfPark,Blue layout 2021,2021-07-21 16:09,81,21,6,3,5,4,4,3,5,6,5,3,5,5,6,6,5,3,4,3,,,,,,
Saikkis,Ford DiscGolfPark,Blue layout 2021,2021-07-21 16:09,91,31,6,5,8,5,5,4,5,8,4,3,5,7,5,4,5,3,5,4,,,,,,
Mikko,Ford DiscGolfPark,Blue layout 2021,2021-07-21 16:09,86,26,7,4,5,4,6,4,4,7,4,4,7,6,4,5,4,3,4,4,,,,,,
Par,Pornainen DiscGolfPark,Main,2021-07-20 20:17,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Pornainen DiscGolfPark,Main,2021-07-20 20:17,28,1,2,3,3,3,5,3,3,3,3,,,,,,,,,,,,,,,
Antti,Pornainen DiscGolfPark,Main,2021-07-20 20:17,27,0,2,3,3,4,4,2,3,3,3,,,,,,,,,,,,,,,
Par,Pornainen DiscGolfPark,B-Kierros,2021-07-20 19:33,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Pornainen DiscGolfPark,B-Kierros,2021-07-20 19:33,29,2,2,5,2,3,3,3,3,4,4,,,,,,,,,,,,,,,
Antti,Pornainen DiscGolfPark,B-Kierros,2021-07-20 19:33,33,6,3,5,5,2,5,3,3,4,3,,,,,,,,,,,,,,,
Par,Lemmenlaakson Frisbeegolfrata,2020 Layout,2021-07-20 17:18,59,,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,,,,,,
Henkka,Lemmenlaakson Frisbeegolfrata,2020 Layout,2021-07-20 17:18,68,9,4,6,6,2,3,3,3,4,4,3,2,4,3,6,5,3,5,2,,,,,,
Antti,Lemmenlaakson Frisbeegolfrata,2020 Layout,2021-07-20 17:18,78,19,3,5,6,3,3,5,3,5,4,4,4,3,3,9,7,4,4,3,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-07-13 21:15,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-07-13 21:15,24,-3,3,3,3,3,2,3,3,2,2,,,,,,,,,,,,,,,
Henkka,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-07-13 21:15,23,-4,2,2,3,2,3,3,3,2,3,,,,,,,,,,,,,,,
Saikkis,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-07-13 21:15,26,-1,2,3,3,4,4,3,2,3,2,,,,,,,,,,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 20:39,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 20:39,20,-7,2,2,2,2,2,2,3,2,3,,,,,,,,,,,,,,,
Henkka,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 20:39,26,-1,3,3,2,3,3,3,2,3,4,,,,,,,,,,,,,,,
Saikkis,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 20:39,27,0,2,3,3,4,3,2,3,3,4,,,,,,,,,,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 19:59,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 19:59,26,-1,3,3,2,3,2,3,3,3,4,,,,,,,,,,,,,,,
Henkka,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 19:59,23,-4,2,3,3,3,2,3,2,3,2,,,,,,,,,,,,,,,
Saikkis,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 19:59,23,-4,2,2,3,3,2,3,3,3,2,,,,,,,,,,,,,,,
Par,Ford Amateur DiscGolfPark (A1),Main,2021-07-12 18:56,56,,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,,,,,,
Jouni,Ford Amateur DiscGolfPark (A1),Main,2021-07-12 18:56,55,-1,2,4,3,3,3,5,3,4,2,2,3,4,4,3,2,2,3,3,,,,,,
Henkka,Ford Amateur DiscGolfPark (A1),Main,2021-07-12 18:56,57,1,4,4,3,2,3,4,3,2,2,3,3,2,5,6,2,3,4,2,,,,,,
Saikkis,Ford Amateur DiscGolfPark (A1),Main,2021-07-12 18:56,59,3,3,3,3,4,2,4,4,4,4,4,3,3,4,3,2,3,3,3,,,,,,
Par,Päiväkumpu,10 Holes,2021-07-11 19:14,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,
Henkka,Päiväkumpu,10 Holes,2021-07-11 19:14,27,-3,3,2,3,2,2,3,3,3,3,3,,,,,,,,,,,,,,
Antti,Päiväkumpu,10 Holes,2021-07-11 19:14,33,3,4,3,3,3,3,4,3,4,3,3,,,,,,,,,,,,,,
Ilkka,Päiväkumpu,10 Holes,2021-07-11 19:14,36,6,5,3,3,4,4,3,2,4,4,4,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-07-11 18:06,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-07-11 18:06,23,-4,2,3,3,3,2,3,2,2,3,,,,,,,,,,,,,,,
Ilkka,Malminiitty,Niitty,2021-07-11 18:06,29,2,5,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Antti,Malminiitty,Niitty,2021-07-11 18:06,25,-2,3,3,2,2,3,4,3,3,2,,,,,,,,,,,,,,,
Par,Siltamäki,Updated,2021-07-09 20:17,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Teemu,Siltamäki,Updated,2021-07-09 20:17,63,10,4,4,3,3,4,3,3,3,4,5,3,4,3,5,3,4,3,2,,,,,,
Henkka,Siltamäki,Updated,2021-07-09 20:17,51,-2,3,4,2,2,2,2,3,3,3,3,3,4,3,3,3,3,3,2,,,,,,
Antti,Siltamäki,Updated,2021-07-09 20:17,61,8,6,5,3,2,5,3,3,3,4,4,3,3,3,2,2,4,3,3,,,,,,
Henu,Siltamäki,Updated,2021-07-09 20:17,65,12,3,4,3,3,3,4,3,4,4,4,4,4,3,3,5,4,4,3,,,,,,
Par,Siltamäki,Updated,2021-07-09 17:55,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Teemu,Siltamäki,Updated,2021-07-09 17:55,68,15,3,4,3,3,3,4,3,6,7,5,3,3,3,4,3,4,3,4,,,,,,
Henkka,Siltamäki,Updated,2021-07-09 17:55,57,4,4,3,2,3,3,3,3,3,3,3,3,4,3,3,3,5,3,3,,,,,,
Antti,Siltamäki,Updated,2021-07-09 17:55,59,6,3,4,3,4,3,3,3,3,3,4,3,4,3,3,3,4,3,3,,,,,,
Henu,Siltamäki,Updated,2021-07-09 17:55,64,11,4,4,4,3,3,3,3,4,3,6,3,3,3,3,4,5,4,2,,,,,,
Par,Äijänpelto Frisbeegolf,Main,2021-07-08 17:01,67,,3,3,4,4,3,4,5,3,4,4,3,3,4,5,5,3,3,4,,,,,,
Henkka,Äijänpelto Frisbeegolf,Main,2021-07-08 17:01,78,11,3,4,4,5,3,5,7,4,4,4,3,3,5,6,6,3,3,6,,,,,,
Antti,Äijänpelto Frisbeegolf,Main,2021-07-08 17:01,82,15,3,5,6,5,3,5,7,3,4,5,3,3,6,6,6,4,4,4,,,,,,
Par,Nurmijärven Frisbeegolfrata,Main,2021-07-07 19:48,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
Henkka,Nurmijärven Frisbeegolfrata,Main,2021-07-07 19:48,62,8,3,4,3,3,3,4,4,4,3,4,3,4,2,4,2,3,4,5,,,,,,
Antti,Nurmijärven Frisbeegolfrata,Main,2021-07-07 19:48,65,11,3,4,5,4,4,4,3,3,4,5,4,2,3,3,3,3,4,4,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-07-06 20:54,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Lentolan Frisbeegolf,Main,2021-07-06 20:54,24,-3,3,3,2,3,3,3,2,2,3,,,,,,,,,,,,,,,
Antti,Lentolan Frisbeegolf,Main,2021-07-06 20:54,28,1,3,4,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-07-06 20:25,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Lentolan Frisbeegolf,Main,2021-07-06 20:25,24,-3,3,3,2,2,3,2,3,3,3,,,,,,,,,,,,,,,
Antti,Lentolan Frisbeegolf,Main,2021-07-06 20:25,25,-2,2,3,3,2,3,2,3,3,4,,,,,,,,,,,,,,,
Par,Separisimppa,Custom,2021-07-02 21:12,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
Teemu,Separisimppa,Custom,2021-07-02 21:12,58,4,4,3,3,4,3,2,3,5,3,3,3,3,3,4,4,2,3,3,,,,,,
